EIN,Name in IRS Master File,NTEE Code,NTEE Type (26),NTEE Classification,Affiliation,Founded,Overall,Financial Socre,Transparency Score,Tel,Website,Street,City,State,Zip
99-0226111,Aha Punana Leo,A70,"Arts, Culture and Humanities",Humanities Organizations,Independent ,"March, 1984",80.96,77,86,tel: (808) 935-4304,http://www.ahapunanaleo.org/,96 Pu'uhonu Place,Hilo,HI,96720
23-7173492,A Better Chance Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"May, 1972",86.39,80.76,100,tel: (646) 346-1310,http://www.abetterchance.org,253 West 35th Street,New York,NY,10001
73-1116884,A Chance To Change Foundation,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Central ,"November, 1981",76.67,81.05,73,tel: (405) 840-9000,http://www.achancetochange.org/,5228 Classen Circle,Oklahoma City,OK,73118
58-1911741,A Childs Place Of Charlotte Inc,B90,Educational Institutions and Related Activities,Educational Services and Schools - Other,Independent ,"April, 1991",90.69,87.46,96,tel: (704) 343-3790,http://www.achildsplace.org/,601 East Fifth Street,Charlotte,NC,28202
91-0787792,A Contemporary Theatre Inc,A65,"Arts, Culture and Humanities",Theater,Independent ,"December, 1965",78.54,70.73,92,tel: (206) 292-7660,http://www.acttheatre.org,Kreielsheimer Place,Seattle,WA,98101
90-0018359,A Jewish Voice For Peace Inc,Q40,"International, Foreign Affairs and National Security",International Peace and Security,Independent ,"February, 2003",87.82,86.75,89,tel: (510) 465-1777,https://jewishvoiceforpeace.org,1611 Telegraph Avenue,Oakland,CA,94612
31-1440073,A Kid Again Inc,P58,Human Services - Multipurpose and Other,Gift Distribution,Independent ,"September, 1995",81.89,74.39,100,tel: (800) 543-9735,http://www.akidagain.org,777-G Dearborn Park Lane,Columbus,OH,43085
26-0295572,Pediatric Low Grade Astrocytomafoundation Inc,T30,"Philanthropy, Voluntarism and Grantmaking Foundations",Public Foundations,Independent ,"August, 2007",76.43,75.89,77,tel: (914) 762-3494,http://akidsbraintumorcure.org/,98 Random Farms Drive,Chappaqua,NY,10514
95-4443878,A Noise Within,A60,"Arts, Culture and Humanities",Performing Arts Organizations,Independent ,"September, 1993",82.65,85.81,80,tel: (626) 356-3100,http://www.anoisewithin.org,3352 East Foothill Boulevard,Pasadena,CA,91107
95-4427291,A Place Called Home,Z99,Unknown,Unknown,Independent ,"July, 1993",94.72,92.54,100,tel: (323) 232-7653,http://www.apch.org,2830 South Central Avenue,Los Angeles,CA,90011
61-1142823,A Choice For Life Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"June, 1993",77.88,74.42,82,tel: (502) 589-9400,http://awomanschoice.org/,101 West Market Street,Louisville,KY,40202
23-7379088,A J Muste Memorial Institute,Q41,"International, Foreign Affairs and National Security","Arms Control, Peace Organizations",Independent ,"June, 1974",83.13,76.49,96,tel: (212) 533-4335,http://www.ajmuste.org/,339 Lafayette Street,New York,NY,10012
52-0794368,Aaa Foundation For Traffic Safety,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"October, 1970",94.32,99.28,92,tel: (202) 638-5944,http://www.aaafoundation.org,"607 14th Street, NW",Washington,DC,20005
25-1716419,Aaca Museum Inc,A50,"Arts, Culture and Humanities","Museum, Museum Activities",Independent ,"May, 1994",83.62,79.62,89,tel: (717) 566-7100,http://www.aacamuseum.org,161 Museum Drive,Hershey,PA,17033
13-3540234,Aaron Diamond Aids Research Center For The City Of Ny,H81,Medical Research,AIDS Research,Independent ,"October, 1993",90.71,86.87,100,tel: (212) 448-5000,http://www.adarc.org,455 First Avenue,New York,NY,10016
52-0794300,Aarp Foundation,P81,Human Services - Multipurpose and Other,"Senior Centers, Services",Independent ,"May, 1963",81.07,73.53,96,tel: (800) 775-6776,http://www.aarp.org/aarp-foundation/,"601 E Street, NW",Washington,DC,20049
52-6037388,American Association Of University Women Inc,B82,Educational Institutions and Related Activities,"Scholarships, Student Financial Aid Services, Awards",Central ,"March, 2010",85.05,79.25,96,tel: (202) 728-3307,http://www.aauw.org,"1111 Sixteenth Street, NW",Washington,DC,20036
20-5967513,Abandoned Childrens Fund,Q33,"International, Foreign Affairs and National Security",International Relief,Independent ,"March, 2007",73.21,91.86,63,tel: (888) 884-0567,http://www.abandonedchildrensfund.org,2360 Mendocino Ave A2-220,Santa Rosa,CA,95403
04-2648411,Abby Kelley Foster House Inc,L41,"Housing, Shelter","Homeless, Temporary Shelter For",Independent ,"September, 1978",78.83,76.87,81,tel: (508) 756-5486,http://abbyshouse.org/,52 High Street,Worcester,MA,1609
94-1546643,Abilities United,P82,Human Services - Multipurpose and Other,"Developmentally Disabled Centers, Services",Independent ,"August, 1965",84.46,78.4,96,tel: (650) 494-0550,http://abilitiesunited.org,525 East Charleston Road,Palo Alto,CA,94306
58-1588777,Ability Experience,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"January, 1985",81.94,78.64,86,tel: (704) 504-2400,http://www.abilityexperience.org/,2015 Ayrsley Town Boulevard,Charlotte,NC,28273
94-3087060,Abode Services,L41,"Housing, Shelter","Homeless, Temporary Shelter For",Independent ,"November, 1989",97.68,96.73,100,tel: (510) 657-7409,http://www.abodeservices.org,40849 Fremont Boulevard,Fremont,CA,94538
13-3556715,Abraham Fund Inc,Q40,"International, Foreign Affairs and National Security",International Peace and Security,Independent ,"June, 1990",80.33,74.46,89,tel: (212) 661-7770,http://www.abrahamfund.org,162 West 56th Street,New York,NY,10019
13-3721924,Abraham House Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Subordinate ,"March, 1946",77.83,75.07,81,tel: (718) 292-9321,http://www.abrahamhouse.org,340 Willis Avenue,Bronx,NY,10454
13-3091539,Abraham Joshua Heschel School,B20,Educational Institutions and Related Activities,"Elementary, Secondary Education, K - 12",Independent ,"December, 1981",89.12,89.26,89,tel: (212) 595-7087,http://www.heschel.org,270 West 89th Street,New York,NY,10024
23-2822856,The Abraham Lincoln Foundation Of The Union League Of Philadelphia,A54,"Arts, Culture and Humanities",History Museums,Independent ,"February, 1996",79.02,85.71,74,tel: (215) 587-6455,http://www.ulheritagecenter.org/the-abraham-lincoln-foundation/alf-overview/,140 South Broad Street,Philadelphia,PA,19102
36-4385644,Abraham Lincoln Presidential Library Foundation,B11,Educational Institutions and Related Activities,Single Organization Support,Independent ,"October, 2000",80.58,74.84,89,tel: (217) 557-6250,http://www.alplm.org/,500 East Madison Street,Springfield,IL,62701
91-1339173,Abused Deaf Womens Advocacy Services,P62,Human Services - Multipurpose and Other,Victims' Services,Independent ,"May, 1991",83.69,81.68,86,tel: (260) 922-7088,http://www.adwas.org/,"8623 Roosevelt Way, NE.",Seattle,WA,98115
52-6051766,Academy Art Museum Inc,A20,"Arts, Culture and Humanities","Arts, Cultural Organizations - Multipurpose",Independent ,"September, 1960",84.51,84.04,85,tel: (410) 822-2787,http://www.academyartmuseum.org/,106 South Street,Easton,MD,21601
75-6042129,American Academy Of Achievement,B99,Educational Institutions and Related Activities,Education N.E.C.,Independent ,"May, 1965",73.42,76.09,71,tel: (202) 887-0000,http://www.achievement.org,"1222 Sixteenth Street, NW",Washington,DC,20036
13-1879953,Academy Of American Poets Incorporated,A70,"Arts, Culture and Humanities",Humanities Organizations,Independent ,"February, 1936",90.25,88.77,92,tel: (212) 274-0343,http://www.poets.org,75 Maiden Lane,New York,NY,10038
23-7061145,Academy Of Fine Arts Inc,A61,"Arts, Culture and Humanities",Performing Arts Centers,Independent ,"August, 2000",71.49,79.99,65,tel: (434) 528-3256,http://www.academyfinearts.com,600 Main Street,Lynchburg,VA,24504
52-1730021,Academy Of Hope Adult Public Charter School,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"September, 1991",83.42,76.91,96,tel: (202) 269-6623,http://aohdc.org/,"601 Edgewood Street, NE",Washington,DC,20017
23-1352000,Academy Of Natural Sciences Of Philadelphia,U30,"Science and Technology Research Institutes, Services","Physical Sciences, Earth Sciences Research and Promotion",Independent ,"December, 1928",91.57,93.52,90,tel: (215) 299-1022,http://www.ansp.org,1900 Benjamin Franklin Parkway,Philadelphia,PA,19103
36-6150906,Academy Of Nutrition And Dietetics Foundation,E12,Health - General and Rehabilitative,Fund Raising and/or Fund Distribution,Independent ,"June, 1967",90.78,93,89,tel: (800) 877-1600,http://www.eatright.org/,120 South Riverside Plaza,Chicago,IL,60606
95-2283284,Academy Of Television Arts & Sciences Foundation,A30,"Arts, Culture and Humanities","Media, Communications Organizations",Independent ,"August, 1995",72.48,62.68,89,tel: (818) 754-2800,http://emmys.org/foundation/,5220 Lankershim Boulevard,North Hollywood,CA,91601
23-1352001,Academy Of Vocal Arts,A6E,"Arts, Culture and Humanities",Performing Arts Schools,Independent ,"May, 1938",90.01,87.73,93,tel: (215) 735-1685,http://www.avaopera.com,1920 Spruce Street,Philadelphia,PA,19103
01-0518193,Acadia Center,C35,"Environmental Quality, Protection and Beautification",Energy Resources Conservation and Development,Independent ,"August, 1998",99.35,99.09,100,tel: (207) 236-6470,http://www.acadiacenter.org/,8 Summer Street,Rockport,ME,4856
52-2320756,Accelerate Brain Cancer Cure Inc,H12,Medical Research,Fund Raising and/or Fund Distribution,Independent ,"July, 2002",74.91,66.27,89,tel: (202) 419-3140,http://www.abc2.org,"1717 Rhode Island Avenue, NW",Washington,DC,20036
04-3555864,Accelerated Cure Project Inc,G50,"Diseases, Disorders, Medical Disciplines","Nerve, Muscle and Bone Diseases",Independent ,"November, 2015",88.43,83.64,100,tel: (781) 487-0008,http://www.acceleratedcure.org/,460 Totten Pond Road,Waltham,MA,2451
34-1395246,Access Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"December, 1983",83.33,81.83,85,tel: (330) 376-0997,http://www.access-shelter.org/,230 West Market Street,Akron,OH,44303
54-1440734,Access College Foundation,B82,Educational Institutions and Related Activities,"Scholarships, Student Financial Aid Services, Awards",Independent ,"June, 1988",93.61,90.97,100,tel: (757) 962-6113,http://www.accesscollege.org/,7300 Newport Avenue,Norfolk,VA,23505
94-3131165,Access Fund,Z99,Unknown,Unknown,Independent ,"July, 1996",89.92,88.21,92,tel: (303) 545-6772,http://www.accessfund.org/,207 Canyon,Boulder,CO,80302
